product_id,calories_100g,carbs_g,fiber_g,protein_g,fat_g,healthy_fat_g,saturated_fat_g,added_sugar_g,sodium_mg,potassium_mg,is_whole_grain,is_refined_grain,has_artificial_additives,deep_fried
P00001,227,41,8,6,5,2,1,0,205,268,False,True,True,False
P00002,279,59,8,8,1,2,0,3,67,136,False,False,True,False
P00003,255,42,9,9,6,2,1,2,234,183,False,False,True,False
P00004,239,35,3,11,2,3,1,3,174,255,True,True,False,False
P00005,288,43,4,8,8,3,0,1,151,253,True,True,False,False
P00006,235,54,7,8,6,1,0,3,241,210,True,True,False,False
P00007,343,56,8,6,7,1,1,0,167,119,False,False,False,False
P00008,306,39,4,9,1,3,0,3,262,276,False,True,False,False
P00009,311,48,9,10,2,4,1,2,106,185,False,True,False,False
P00010,330,36,8,8,3,2,0,1,115,150,True,True,False,False
P00011,245,60,10,9,8,3,2,2,88,212,True,True,False,False
P00012,214,41,4,8,8,4,0,0,144,173,True,False,False,False
P00013,329,42,10,10,1,4,2,1,132,254,True,True,True,False
P00014,287,52,4,10,3,1,0,3,162,234,False,True,False,False
P00015,299,43,8,11,1,3,0,2,74,242,False,True,False,False
P00016,238,40,4,10,3,3,1,3,83,252,False,True,False,False
P00017,284,56,5,11,2,4,2,2,54,192,True,False,False,False
P00018,324,36,6,7,3,1,1,0,179,297,False,False,False,False
P00019,286,58,5,10,7,2,0,1,262,277,False,False,True,False
P00020,211,43,8,11,4,4,2,2,242,291,False,True,False,False
P00021,320,58,6,8,8,4,1,3,178,235,True,True,True,False
P00022,235,57,7,6,8,3,2,0,232,232,False,True,False,False
P00023,315,58,5,12,7,1,0,3,276,189,False,True,False,False
P00024,260,42,4,8,4,1,1,0,264,282,False,False,True,False
P00025,320,52,5,12,8,4,2,0,281,120,True,True,True,False
P00026,335,43,4,12,5,2,1,0,62,161,True,False,False,False
P00027,327,49,3,11,4,2,1,3,50,257,True,False,True,False
P00028,221,46,8,6,1,4,1,0,212,199,False,True,True,False
P00029,217,41,6,11,2,3,0,0,140,239,True,False,False,False
P00030,318,52,10,11,3,2,0,3,59,175,True,False,False,False
P00031,279,46,9,12,8,3,0,1,123,191,False,True,False,False
P00032,231,55,8,9,7,4,1,2,299,147,True,True,False,False
P00033,268,55,4,11,7,1,1,1,189,175,True,True,False,False
P00034,314,49,9,7,8,3,1,0,236,190,False,True,False,False
P00035,214,32,9,8,3,1,0,3,58,132,True,False,False,False
P00036,345,31,5,11,8,3,1,3,245,119,False,False,False,False
P00037,271,37,4,6,3,4,2,3,283,243,True,False,False,False
P00038,273,52,10,7,2,2,0,3,94,282,True,True,False,False
P00039,281,51,8,11,2,3,1,1,232,281,False,False,False,False
P00040,257,33,6,12,3,2,1,0,142,241,False,True,False,False
P00041,222,32,7,9,8,4,1,0,82,181,False,True,False,False
P00042,232,58,5,12,3,4,2,0,262,131,False,True,True,False
P00043,257,41,7,12,2,3,0,2,82,260,True,False,False,False
P00044,348,34,5,11,6,1,0,0,61,264,False,True,False,False
P00045,306,49,3,9,5,3,1,1,256,275,True,True,False,False
P00046,312,43,10,9,4,3,2,1,130,283,True,False,False,False
P00047,233,54,8,10,2,3,0,3,81,168,True,True,True,False
P00048,307,37,5,12,6,3,0,1,177,231,True,False,False,False
P00049,300,46,10,7,4,3,0,0,122,226,False,False,False,False
P00050,337,30,4,9,3,3,2,2,245,203,True,True,False,False
P00051,53,13,4,0,1,1,0,0,9,224,False,False,False,False
P00052,53,10,6,2,0,0,0,0,6,209,False,False,False,False
P00053,75,10,5,3,0,0,0,0,10,300,False,False,False,False
P00054,77,9,6,2,2,1,0,0,5,294,False,False,False,False
P00055,73,6,5,2,2,0,0,0,25,400,False,False,False,False
P00056,67,14,3,0,2,1,0,0,9,374,False,False,False,False
P00057,32,14,2,1,0,1,0,0,9,305,False,False,False,False
