item_id,transaction_id,product_id,quantity,is_organic_purchased
I0000001,T000001,P00138,1,False
I0000002,T000001,P00098,1,False
I0000003,T000001,P00103,1,False
I0000004,T000001,P00124,1,False
I0000005,T000001,P00106,1,False
I0000006,T000001,P00104,1,False
I0000007,T000001,P00183,1,False
I0000008,T000002,P00004,1,False
I0000009,T000002,P00247,1,False
I0000010,T000002,P00162,1,False
I0000011,T000002,P00295,1,False
I0000012,T000002,P00252,1,False
I0000013,T000002,P00262,1,False
I0000014,T000003,P00217,1,False
I0000015,T000003,P00277,1,False
I0000016,T000003,P00258,1,False
I0000017,T000003,P00202,1,False
I0000018,T000003,P00235,1,False
I0000019,T000003,P00266,1,False
I0000020,T000003,P00162,1,False
I0000021,T000004,P00133,1,False
I0000022,T000004,P00281,2,False
I0000023,T000004,P00122,2,False
I0000024,T000004,P00242,2,False
I0000025,T000004,P00188,1,False
I0000026,T000005,P00093,5,False
I0000027,T000005,P00068,5,False
I0000028,T000005,P00118,1,False
I0000029,T000005,P00139,2,False
I0000030,T000005,P00285,4,False
I0000031,T000005,P00196,2,False
I0000032,T000006,P00091,4,False
I0000033,T000006,P00256,2,False
I0000034,T000006,P00265,5,False
I0000035,T000007,P00288,5,False
I0000036,T000007,P00025,4,False
I0000037,T000007,P00051,2,False
I0000038,T000007,P00031,2,False
I0000039,T000007,P00131,4,False
I0000040,T000008,P00134,3,False
I0000041,T000008,P00185,5,False
I0000042,T000008,P00286,3,False
I0000043,T000008,P00177,1,False
I0000044,T000008,P00211,1,False
I0000045,T000009,P00167,1,False
I0000046,T000009,P00229,1,False
I0000047,T000009,P00196,1,False
I0000048,T000009,P00238,1,False
I0000049,T000009,P00086,1,False
I0000050,T000010,P00041,1,False
I0000051,T000010,P00176,1,False
I0000052,T000010,P00161,1,False
I0000053,T000011,P00228,1,False
I0000054,T000011,P00267,1,False
I0000055,T000011,P00212,1,False
I0000056,T000011,P00095,1,False
I0000057,T000011,P00065,1,False
I0000058,T000012,P00033,2,False
I0000059,T000012,P00281,1,False
I0000060,T000012,P00014,2,False
I0000061,T000013,P00080,1,False
I0000062,T000013,P00200,2,False
I0000063,T000013,P00118,1,False
I0000064,T000013,P00146,2,False
I0000065,T000013,P00065,1,False
I0000066,T000014,P00183,2,False
I0000067,T000014,P00244,2,False
I0000068,T000014,P00277,2,False
I0000069,T000015,P00274,3,False
I0000070,T000015,P00178,4,False
I0000071,T000015,P00277,2,False
I0000072,T000015,P00046,4,False
I0000073,T000015,P00158,3,False
I0000074,T000015,P00212,3,False
I0000075,T000015,P00080,3,False
I0000076,T000016,P00241,5,False
I0000077,T000016,P00005,4,False
I0000078,T000016,P00245,3,False
I0000079,T000016,P00005,4,False
I0000080,T000016,P00150,5,False
I0000081,T000017,P00211,5,False
I0000082,T000017,P00224,4,False
I0000083,T000017,P00128,2,False
I0000084,T000017,P00200,4,False
I0000085,T000018,P00265,5,False
I0000086,T000018,P00140,3,False
I0000087,T000018,P00273,3,False
I0000088,T000018,P00212,2,False
I0000089,T000019,P00057,4,False
I0000090,T000019,P00232,3,False
I0000091,T000019,P00252,2,False
I0000092,T000019,P00165,1,False
I0000093,T000019,P00078,1,False
I0000094,T000020,P00047,1,False
I0000095,T000020,P00008,2,False
I0000096,T000020,P00112,2,False
I0000097,T000020,P00216,2,False
I0000098,T000021,P00017,2,False
I0000099,T000021,P00042,1,False
I0000100,T000021,P00029,2,False
I0000101,T000021,P00201,1,False
I0000102,T000021,P00279,2,False
I0000103,T000021,P00093,1,False
I0000104,T000022,P00063,1,False
I0000105,T000022,P00198,2,False
I0000106,T000022,P00127,1,False
I0000107,T000023,P00200,2,False
I0000108,T000023,P00166,1,False
I0000109,T000023,P00022,1,False
I0000110,T000023,P00130,2,False
I0000111,T000023,P00153,1,False
I0000112,T000023,P00185,1,False
I0000113,T000024,P00223,2,False
I0000114,T000024,P00008,1,False
I0000115,T000024,P00142,1,False
I0000116,T000024,P00203,1,False
I0000117,T000025,P00046,1,True
I0000118,T000025,P00081,1,False
I0000119,T000025,P00047,1,False
I0000120,T000025,P00031,1,False
I0000121,T000025,P00183,1,False
I0000122,T000026,P00011,4,False
I0000123,T000026,P00184,2,False
I0000124,T000026,P00129,1,False
I0000125,T000026,P00249,4,False
I0000126,T000027,P00291,2,False
I0000127,T000027,P00279,3,False
I0000128,T000027,P00166,4,False
I0000129,T000027,P00141,2,False
I0000130,T000028,P00135,3,False
I0000131,T000028,P00233,1,False
I0000132,T000028,P00260,4,False
I0000133,T000028,P00095,1,False
I0000134,T000028,P00187,2,False
I0000135,T000029,P00269,4,False
I0000136,T000029,P00283,2,False
I0000137,T000029,P00145,3,False
I0000138,T000029,P00210,3,False
I0000139,T000030,P00092,1,False
I0000140,T000030,P00104,1,False
I0000141,T000030,P00249,2,False
I0000142,T000030,P00051,1,False
I0000143,T000031,P00252,1,False
I0000144,T000031,P00240,1,True
I0000145,T000031,P00185,2,True
I0000146,T000031,P00189,1,False
I0000147,T000032,P00156,1,False
I0000148,T000032,P00111,1,True
I0000149,T000032,P00052,1,False
I0000150,T000033,P00128,1,False
I0000151,T000033,P00286,2,False
I0000152,T000033,P00055,2,False
I0000153,T000033,P00235,2,True
I0000154,T000033,P00054,1,False
I0000155,T000033,P00093,2,False
I0000156,T000033,P00259,2,False
I0000157,T000034,P00162,2,False
I0000158,T000034,P00191,2,False
I0000159,T000034,P00221,2,False
I0000160,T000034,P00124,1,False
I0000161,T000034,P00193,2,False
I0000162,T000035,P00001,1,True
I0000163,T000035,P00146,1,False
I0000164,T000035,P00266,1,False
I0000165,T000035,P00155,1,False
I0000166,T000035,P00154,1,False
I0000167,T000035,P00110,2,True
I0000168,T000036,P00020,1,False
I0000169,T000036,P00183,1,False
I0000170,T000036,P00071,1,False
I0000171,T000037,P00205,3,False
I0000172,T000037,P00112,3,False
I0000173,T000037,P00040,3,False
I0000174,T000037,P00167,2,False
I0000175,T000037,P00089,2,False
I0000176,T000037,P00296,1,False
I0000177,T000037,P00154,1,False
I0000178,T000038,P00029,2,False
I0000179,T000038,P00179,2,False
I0000180,T000038,P00214,1,False
I0000181,T000039,P00028,2,False
I0000182,T000039,P00269,1,False
I0000183,T000039,P00164,3,False
I0000184,T000039,P00290,1,False
I0000185,T000039,P00168,3,True
I0000186,T000039,P00114,1,False
I0000187,T000040,P00295,1,False
I0000188,T000040,P00114,1,False
I0000189,T000040,P00149,1,False
I0000190,T000040,P00076,1,False
I0000191,T000040,P00173,1,False
I0000192,T000040,P00244,1,False
I0000193,T000040,P00281,1,False
I0000194,T000041,P00287,2,False
I0000195,T000041,P00250,4,False
I0000196,T000041,P00293,2,False
I0000197,T000041,P00288,2,False
I0000198,T000041,P00125,1,False
I0000199,T000041,P00137,4,False
I0000200,T000042,P00217,3,False
I0000201,T000042,P00179,2,False
I0000202,T000042,P00165,3,False
I0000203,T000042,P00013,3,False
I0000204,T000042,P00087,3,False
I0000205,T000042,P00227,2,False
I0000206,T000043,P00080,1,False
I0000207,T000043,P00058,1,False
I0000208,T000043,P00125,2,False
I0000209,T000043,P00148,1,False
I0000210,T000043,P00176,1,False
I0000211,T000044,P00268,3,False
I0000212,T000044,P00281,4,False
I0000213,T000044,P00073,1,True
I0000214,T000044,P00193,5,False
I0000215,T000044,P00270,1,False
I0000216,T000044,P00131,2,True
I0000217,T000044,P00031,3,False
I0000218,T000045,P00005,1,True
I0000219,T000045,P00199,3,True
I0000220,T000045,P00185,1,True
I0000221,T000045,P00010,3,False
I0000222,T000045,P00198,2,False
I0000223,T000045,P00195,5,True
I0000224,T000046,P00273,1,False
I0000225,T000046,P00096,2,False
I0000226,T000046,P00257,4,True
I0000227,T000046,P00288,1,False
I0000228,T000046,P00021,2,False
I0000229,T000046,P00272,3,False
I0000230,T000047,P00121,5,False
I0000231,T000047,P00142,1,False
I0000232,T000047,P00132,4,False
I0000233,T000047,P00016,5,False
I0000234,T000047,P00144,2,False
I0000235,T000048,P00196,5,False
I0000236,T000048,P00117,4,False
