transaction_id,customer_id,transaction_date,transaction_time
T000001,C0001,2024-01-07,21:30:00
T000002,C0001,2024-01-06,21:00:00
T000003,C0002,2024-01-04,18:30:00
T000004,C0002,2024-01-02,09:00:00
T000005,C0002,2024-01-05,19:30:00
T000006,C0003,2024-01-02,09:30:00
T000007,C0003,2024-01-05,21:00:00
T000008,C0003,2024-01-03,08:30:00
T000009,C0003,2024-01-06,21:00:00
T000010,C0004,2024-01-01,20:00:00
T000011,C0004,2024-01-05,19:00:00
T000012,C0004,2024-01-06,10:30:00
T000013,C0005,2024-01-01,19:00:00
T000014,C0005,2024-01-04,20:00:00
T000015,C0006,2024-01-06,07:30:00
T000016,C0006,2024-01-03,20:00:00
T000017,C0006,2024-01-01,20:30:00
T000018,C0006,2024-01-05,07:30:00
T000019,C0006,2024-01-02,10:00:00
T000020,C0007,2024-01-04,19:30:00
T000021,C0007,2024-01-03,10:30:00
T000022,C0007,2024-01-07,19:30:00
T000023,C0008,2024-01-07,18:30:00
T000024,C0008,2024-01-03,21:30:00
T000025,C0008,2024-01-01,07:30:00
T000026,C0008,2024-01-04,07:30:00
T000027,C0009,2024-01-03,19:30:00
T000028,C0009,2024-01-04,17:00:00
T000029,C0009,2024-01-02,18:30:00
T000030,C0010,2024-01-01,07:00:00
T000031,C0010,2024-01-06,19:30:00
T000032,C0010,2024-01-02,09:00:00
T000033,C0010,2024-01-05,09:30:00
T000034,C0011,2024-01-05,08:30:00
T000035,C0012,2024-01-06,09:00:00
T000036,C0012,2024-01-04,17:00:00
T000037,C0012,2024-01-05,18:00:00
T000038,C0012,2024-01-01,09:30:00
T000039,C0012,2024-01-03,18:30:00
T000040,C0013,2024-01-06,07:00:00
T000041,C0013,2024-01-03,18:30:00
T000042,C0013,2024-01-07,20:00:00
T000043,C0013,2024-01-04,08:00:00
T000044,C0013,2024-01-02,21:30:00
T000045,C0014,2024-01-01,17:00:00
T000046,C0014,2024-01-02,18:00:00
T000047,C0014,2024-01-04,07:00:00
T000048,C0014,2024-01-07,08:30:00
T000049,C0015,2024-01-03,07:30:00
T000050,C0016,2024-01-05,18:30:00
T000051,C0017,2024-01-01,17:00:00
T000052,C0017,2024-01-03,07:30:00
T000053,C0017,2024-01-02,07:00:00
T000054,C0017,2024-01-07,07:30:00
T000055,C0017,2024-01-04,07:00:00
T000056,C0018,2024-01-05,19:00:00
T000057,C0019,2024-01-01,09:00:00
T000058,C0019,2024-01-04,17:00:00
T000059,C0020,2024-01-02,20:00:00
T000060,C0020,2024-01-06,07:00:00
T000061,C0020,2024-01-04,21:30:00
T000062,C0020,2024-01-01,21:00:00
T000063,C0020,2024-01-03,19:00:00
T000064,C0021,2024-01-07,17:00:00
T000065,C0022,2024-01-05,17:00:00
T000066,C0023,2024-01-04,10:30:00
T000067,C0024,2024-01-05,18:30:00
T000068,C0025,2024-01-06,20:30:00
T000069,C0025,2024-01-05,10:30:00
T000070,C0026,2024-01-03,21:00:00
T000071,C0026,2024-01-06,19:00:00
T000072,C0026,2024-01-07,18:00:00
T000073,C0026,2024-01-01,20:30:00
T000074,C0026,2024-01-05,09:00:00
T000075,C0027,2024-01-07,17:30:00
T000076,C0027,2024-01-05,19:30:00
T000077,C0027,2024-01-02,17:00:00
T000078,C0028,2024-01-04,17:30:00
T000079,C0028,2024-01-01,18:00:00
T000080,C0029,2024-01-02,21:30:00
T000081,C0029,2024-01-04,19:30:00
T000082,C0030,2024-01-03,20:30:00
T000083,C0031,2024-01-04,18:00:00
T000084,C0031,2024-01-03,20:30:00
T000085,C0031,2024-01-02,10:00:00
T000086,C0031,2024-01-06,08:30:00
T000087,C0032,2024-01-07,21:30:00
T000088,C0033,2024-01-01,17:30:00
T000089,C0034,2024-01-05,19:00:00
T000090,C0034,2024-01-06,10:00:00
T000091,C0034,2024-01-04,08:30:00
T000092,C0034,2024-01-01,18:00:00
T000093,C0034,2024-01-02,17:00:00
T000094,C0035,2024-01-02,10:00:00
T000095,C0035,2024-01-03,17:30:00
T000096,C0035,2024-01-01,19:30:00
T000097,C0036,2024-01-06,20:00:00
T000098,C0036,2024-01-05,21:30:00
T000099,C0036,2024-01-07,21:00:00
T000100,C0036,2024-01-03,19:00:00
T000101,C0036,2024-01-02,20:00:00
T000102,C0037,2024-01-02,10:00:00
T000103,C0037,2024-01-07,08:00:00
T000104,C0038,2024-01-02,21:00:00
T000105,C0038,2024-01-06,07:30:00
T000106,C0038,2024-01-03,08:00:00
T000107,C0038,2024-01-01,09:00:00
T000108,C0038,2024-01-07,07:30:00
T000109,C0039,2024-01-04,08:30:00
T000110,C0040,2024-01-06,07:30:00
T000111,C0041,2024-01-04,17:30:00
T000112,C0041,2024-01-01,10:30:00
T000113,C0041,2024-01-06,19:30:00
T000114,C0042,2024-01-02,18:30:00
T000115,C0042,2024-01-05,21:00:00
T000116,C0042,2024-01-04,10:00:00
T000117,C0042,2024-01-03,17:00:00
T000118,C0043,2024-01-06,17:00:00
T000119,C0043,2024-01-07,19:00:00
T000120,C0043,2024-01-01,08:00:00
T000121,C0043,2024-01-05,20:00:00
T000122,C0044,2024-01-01,20:30:00
T000123,C0044,2024-01-06,08:00:00
T000124,C0044,2024-01-05,19:30:00
T000125,C0044,2024-01-07,18:00:00
T000126,C0045,2024-01-05,21:00:00
T000127,C0045,2024-01-06,18:30:00
T000128,C0045,2024-01-04,21:00:00
T000129,C0045,2024-01-03,10:00:00
T000130,C0045,2024-01-02,08:00:00
T000131,C0046,2024-01-01,21:00:00
T000132,C0046,2024-01-02,08:00:00
T000133,C0047,2024-01-02,19:30:00
T000134,C0047,2024-01-06,21:30:00
T000135,C0047,2024-01-05,08:30:00
T000136,C0047,2024-01-07,09:00:00
T000137,C0048,2024-01-07,20:30:00
T000138,C0048,2024-01-02,17:30:00
T000139,C0048,2024-01-03,18:30:00
T000140,C0048,2024-01-04,19:00:00
T000141,C0048,2024-01-06,17:30:00
T000142,C0049,2024-01-06,09:00:00
T000143,C0049,2024-01-07,09:30:00
T000144,C0050,2024-01-03,07:30:00
T000145,C0050,2024-01-07,21:30:00
T000146,C0050,2024-01-04,17:30:00
T000147,C0050,2024-01-01,08:30:00
T000148,C0051,2024-01-07,17:30:00
T000149,C0051,2024-01-03,18:30:00
T000150,C0051,2024-01-04,20:00:00
T000151,C0051,2024-01-05,17:00:00
T000152,C0051,2024-01-02,07:00:00
T000153,C0052,2024-01-05,10:30:00
T000154,C0052,2024-01-06,09:30:00
T000155,C0052,2024-01-01,21:00:00
T000156,C0052,2024-01-03,20:00:00
T000157,C0052,2024-01-07,07:00:00
T000158,C0053,2024-01-07,21:30:00
T000159,C0053,2024-01-05,20:00:00
T000160,C0053,2024-01-04,19:00:00
T000161,C0054,2024-01-01,09:00:00
T000162,C0055,2024-01-05,08:00:00
T000163,C0055,2024-01-07,17:00:00
T000164,C0055,2024-01-02,21:30:00
T000165,C0055,2024-01-06,20:30:00
T000166,C0055,2024-01-03,19:00:00
T000167,C0056,2024-01-03,08:30:00
T000168,C0056,2024-01-02,20:00:00
T000169,C0056,2024-01-06,18:00:00
T000170,C0056,2024-01-04,07:00:00
T000171,C0056,2024-01-07,18:30:00
T000172,C0057,2024-01-04,08:00:00
T000173,C0057,2024-01-02,18:30:00
T000174,C0057,2024-01-05,17:30:00
T000175,C0058,2024-01-07,08:30:00
T000176,C0058,2024-01-06,21:30:00
T000177,C0058,2024-01-05,19:30:00
T000178,C0059,2024-01-06,10:00:00
T000179,C0059,2024-01-07,17:00:00
T000180,C0059,2024-01-01,18:00:00
T000181,C0060,2024-01-03,21:30:00
T000182,C0060,2024-01-05,18:30:00
T000183,C0060,2024-01-04,20:30:00
T000184,C0060,2024-01-02,20:30:00
T000185,C0060,2024-01-07,18:30:00
T000186,C0061,2024-01-06,20:30:00
T000187,C0062,2024-01-02,07:30:00
T000188,C0063,2024-01-01,10:00:00
T000189,C0063,2024-01-02,17:00:00
T000190,C0063,2024-01-07,07:00:00
T000191,C0064,2024-01-01,20:00:00
T000192,C0064,2024-01-04,08:00:00
T000193,C0064,2024-01-02,10:30:00
T000194,C0064,2024-01-07,18:00:00
T000195,C0064,2024-01-06,07:30:00
T000196,C0065,2024-01-07,09:30:00
T000197,C0065,2024-01-04,17:00:00
T000198,C0065,2024-01-02,17:30:00
T000199,C0065,2024-01-06,17:30:00
T000200,C0065,2024-01-03,08:00:00
T000201,C0066,2024-01-05,19:30:00
T000202,C0066,2024-01-07,07:30:00
T000203,C0067,2024-01-03,08:00:00
T000204,C0067,2024-01-02,21:00:00
T000205,C0067,2024-01-06,20:00:00
T000206,C0067,2024-01-07,21:00:00
T000207,C0068,2024-01-06,10:00:00
T000208,C0068,2024-01-01,21:00:00
T000209,C0068,2024-01-05,20:30:00
T000210,C0068,2024-01-04,20:00:00
T000211,C0068,2024-01-02,07:30:00
T000212,C0069,2024-01-06,21:00:00
T000213,C0069,2024-01-02,09:30:00
T000214,C0069,2024-01-01,17:30:00
T000215,C0069,2024-01-04,10:00:00
T000216,C0069,2024-01-03,19:30:00
T000217,C0070,2024-01-01,08:30:00
T000218,C0070,2024-01-06,08:00:00
T000219,C0071,2024-01-05,18:00:00
T000220,C0071,2024-01-06,09:00:00
T000221,C0071,2024-01-01,18:00:00
T000222,C0071,2024-01-02,17:00:00
T000223,C0071,2024-01-04,21:00:00
T000224,C0072,2024-01-07,09:00:00
T000225,C0072,2024-01-03,18:30:00
T000226,C0072,2024-01-04,10:30:00
T000227,C0073,2024-01-07,09:00:00
T000228,C0074,2024-01-01,17:30:00
T000229,C0074,2024-01-02,10:30:00
T000230,C0075,2024-01-01,21:30:00
T000231,C0075,2024-01-02,21:30:00
T000232,C0075,2024-01-07,21:00:00
T000233,C0076,2024-01-01,21:30:00
T000234,C0076,2024-01-07,20:30:00
T000235,C0076,2024-01-05,17:00:00
T000236,C0076,2024-01-06,19:30:00
T000237,C0076,2024-01-02,20:30:00
T000238,C0077,2024-01-03,09:00:00
T000239,C0077,2024-01-04,10:00:00
T000240,C0077,2024-01-06,09:00:00
T000241,C0077,2024-01-01,10:30:00
T000242,C0077,2024-01-07,17:00:00
T000243,C0078,2024-01-01,18:30:00
T000244,C0078,2024-01-05,07:00:00
T000245,C0078,2024-01-03,17:00:00
T000246,C0079,2024-01-04,19:30:00
T000247,C0079,2024-01-02,10:30:00
T000248,C0079,2024-01-05,19:30:00
T000249,C0079,2024-01-07,20:00:00
T000250,C0080,2024-01-04,21:30:00
T000251,C0080,2024-01-01,10:30:00
T000252,C0080,2024-01-03,17:00:00
