product_id,product_name,category_id,brand_id,is_organic_available
P00001,NatureNest_Staples_Item_1,1,4,True
P00002,DailyChoice_Staples_Item_2,1,5,False
P00003,DairyPure_Staples_Item_3,1,14,False
P00004,DailyChoice_Staples_Item_4,1,5,False
P00005,Snackify_Staples_Item_5,1,10,False
P00006,TasteCo_Staples_Item_6,1,9,False
P00007,ValueMart_Staples_Item_7,1,6,False
P00008,GreenLeaf_Staples_Item_8,1,3,True
P00009,HomeBest_Staples_Item_9,1,7,False
P00010,CoolSip_Staples_Item_10,1,13,False
P00011,CrunchyBite_Staples_Item_11,1,11,False
P00012,Snackify_Staples_Item_12,1,10,False
P00013,GreenLeaf_Staples_Item_13,1,3,True
P00014,BakeHouse_Staples_Item_14,1,12,False
P00015,NatureNest_Staples_Item_15,1,4,True
P00016,FreshFarm_Staples_Item_16,1,1,True
P00017,Snackify_Staples_Item_17,1,10,False
P00018,HomeBest_Staples_Item_18,1,7,False
P00019,QuickBuy_Staples_Item_19,1,8,False
P00020,Snackify_Staples_Item_20,1,10,False
P00021,BakeHouse_Staples_Item_21,1,12,False
P00022,CrunchyBite_Staples_Item_22,1,11,False
P00023,ValueMart_Staples_Item_23,1,6,False
P00024,GreenLeaf_Staples_Item_24,1,3,True
P00025,QuickBuy_Staples_Item_25,1,8,False
P00026,CrunchyBite_Staples_Item_26,1,11,False
P00027,QuickBuy_Staples_Item_27,1,8,False
P00028,ValueMart_Staples_Item_28,1,6,False
P00029,FreshFarm_Staples_Item_29,1,1,True
P00030,Snackify_Staples_Item_30,1,10,False
P00031,Snackify_Produce_Item_1,2,10,False
P00032,GreenLeaf_Produce_Item_2,2,3,True
P00033,CrunchyBite_Produce_Item_3,2,11,False
P00034,TasteCo_Produce_Item_4,2,9,False
P00035,HomeBest_Produce_Item_5,2,7,False
P00036,CrunchyBite_Produce_Item_6,2,11,False
P00037,CrunchyBite_Produce_Item_7,2,11,False
P00038,PureHarvest_Produce_Item_8,2,2,True
P00039,BakeHouse_Produce_Item_9,2,12,False
P00040,TasteCo_Produce_Item_10,2,9,False
P00041,BakeHouse_Produce_Item_11,2,12,False
P00042,ValueMart_Produce_Item_12,2,6,False
P00043,CoolSip_Produce_Item_13,2,13,False
P00044,DailyChoice_Produce_Item_14,2,5,False
P00045,ValueMart_Produce_Item_15,2,6,False
P00046,GreenLeaf_Produce_Item_16,2,3,True
P00047,HomeBest_Produce_Item_17,2,7,False
P00048,DailyChoice_Produce_Item_18,2,5,False
P00049,CoolSip_Produce_Item_19,2,13,False
P00050,Snackify_Produce_Item_20,2,10,False
P00051,TasteCo_Produce_Item_21,2,9,False
P00052,FreshFarm_Produce_Item_22,2,1,True
P00053,DairyPure_Produce_Item_23,2,14,False
P00054,QuickBuy_Produce_Item_24,2,8,False
P00055,DairyPure_Produce_Item_25,2,14,False
P00056,TasteCo_Produce_Item_26,2,9,False
P00057,FreshFarm_Produce_Item_27,2,1,True
P00058,GreenLeaf_Produce_Item_28,2,3,True
P00059,BakeHouse_Produce_Item_29,2,12,False
P00060,DailyChoice_Produce_Item_30,2,5,False
P00061,CoolSip_Snacks_Item_1,3,13,False
P00062,HomeBest_Snacks_Item_2,3,7,False
P00063,DairyPure_Snacks_Item_3,3,14,False
P00064,NatureNest_Snacks_Item_4,3,4,True
P00065,ValueMart_Snacks_Item_5,3,6,False
P00066,ValueMart_Snacks_Item_6,3,6,False
P00067,FreshFarm_Snacks_Item_7,3,1,True
P00068,CoolSip_Snacks_Item_8,3,13,False
P00069,CoolSip_Snacks_Item_9,3,13,False
P00070,DairyPure_Snacks_Item_10,3,14,False
P00071,GreenLeaf_Snacks_Item_11,3,3,True
P00072,FreshFarm_Snacks_Item_12,3,1,True
P00073,HomeBest_Snacks_Item_13,3,7,False
P00074,ValueMart_Snacks_Item_14,3,6,False
P00075,CoolSip_Snacks_Item_15,3,13,False
P00076,GreenLeaf_Snacks_Item_16,3,3,True
P00077,CoolSip_Snacks_Item_17,3,13,False
P00078,DairyPure_Snacks_Item_18,3,14,False
P00079,ValueMart_Snacks_Item_19,3,6,False
P00080,HomeBest_Snacks_Item_20,3,7,False
P00081,BakeHouse_Snacks_Item_21,3,12,False
P00082,CrunchyBite_Snacks_Item_22,3,11,False
P00083,DairyPure_Snacks_Item_23,3,14,False
