item_id,transaction_id,product_id,quantity,is_organic_purchased
I0000001,T000001,P00078,1,False
I0000002,T000001,P00170,1,False
I0000003,T000001,P00106,1,False
I0000004,T000001,P00071,1,False
I0000005,T000002,P00143,1,False
I0000006,T000002,P00013,1,False
I0000007,T000002,P00165,1,False
I0000008,T000002,P00135,1,False
I0000009,T000002,P00179,1,False
I0000010,T000002,P00105,1,False
I0000011,T000003,P00119,1,False
I0000012,T000003,P00144,2,False
I0000013,T000003,P00107,1,False
I0000014,T000003,P00100,1,False
I0000015,T000004,P00095,1,False
I0000016,T000004,P00138,1,False
I0000017,T000004,P00014,2,False
I0000018,T000004,P00097,1,False
I0000019,T000004,P00019,1,False
I0000020,T000004,P00151,1,False
I0000021,T000005,P00055,1,False
I0000022,T000005,P00031,2,False
I0000023,T000005,P00063,1,False
I0000024,T000006,P00093,5,False
I0000025,T000006,P00128,4,False
I0000026,T000006,P00026,4,False
I0000027,T000006,P00082,2,False
I0000028,T000006,P00095,3,False
I0000029,T000007,P00005,3,False
I0000030,T000007,P00142,5,False
I0000031,T000007,P00149,4,False
I0000032,T000007,P00076,2,False
I0000033,T000008,P00063,4,False
I0000034,T000008,P00141,3,False
I0000035,T000008,P00066,4,False
I0000036,T000008,P00165,4,False
I0000037,T000008,P00118,2,False
I0000038,T000008,P00091,2,False
I0000039,T000008,P00036,5,False
I0000040,T000009,P00009,1,False
I0000041,T000009,P00172,1,False
I0000042,T000009,P00002,4,False
I0000043,T000009,P00036,2,False
I0000044,T000009,P00018,2,False
I0000045,T000009,P00003,2,False
I0000046,T000009,P00130,4,False
I0000047,T000010,P00137,1,False
I0000048,T000010,P00004,1,False
I0000049,T000010,P00136,1,False
I0000050,T000011,P00179,1,False
I0000051,T000011,P00046,1,False
I0000052,T000011,P00025,1,False
I0000053,T000011,P00062,1,False
I0000054,T000011,P00159,1,False
I0000055,T000011,P00091,1,False
I0000056,T000011,P00102,1,False
I0000057,T000012,P00063,1,False
I0000058,T000012,P00077,1,False
I0000059,T000012,P00168,1,False
I0000060,T000012,P00024,1,False
I0000061,T000012,P00098,1,False
I0000062,T000012,P00142,1,False
I0000063,T000012,P00015,1,False
I0000064,T000013,P00011,1,False
I0000065,T000013,P00055,2,False
I0000066,T000013,P00070,1,False
I0000067,T000013,P00020,2,False
I0000068,T000013,P00140,1,False
I0000069,T000013,P00046,2,False
I0000070,T000013,P00005,1,False
I0000071,T000014,P00042,1,False
I0000072,T000014,P00146,2,False
I0000073,T000014,P00174,2,False
I0000074,T000014,P00099,1,False
I0000075,T000014,P00177,1,False
I0000076,T000015,P00158,5,False
I0000077,T000015,P00102,3,False
I0000078,T000015,P00008,3,False
I0000079,T000015,P00116,4,False
I0000080,T000015,P00059,3,False
I0000081,T000015,P00142,4,False
I0000082,T000015,P00111,2,False
I0000083,T000016,P00076,2,False
I0000084,T000016,P00019,1,False
I0000085,T000016,P00069,2,False
I0000086,T000016,P00098,2,False
I0000087,T000016,P00100,3,False
I0000088,T000016,P00093,1,False
I0000089,T000016,P00024,1,False
I0000090,T000017,P00027,2,False
I0000091,T000017,P00023,2,False
I0000092,T000017,P00111,4,False
I0000093,T000017,P00143,5,False
I0000094,T000017,P00132,4,False
I0000095,T000018,P00024,5,False
I0000096,T000018,P00154,3,False
I0000097,T000018,P00099,1,False
I0000098,T000018,P00075,4,False
I0000099,T000018,P00100,1,False
I0000100,T000018,P00144,2,False
I0000101,T000018,P00147,5,False
I0000102,T000019,P00069,3,False
I0000103,T000019,P00069,4,False
I0000104,T000019,P00038,1,False
I0000105,T000019,P00043,4,False
I0000106,T000020,P00161,2,False
I0000107,T000020,P00153,1,False
I0000108,T000020,P00118,1,False
I0000109,T000020,P00035,2,False
I0000110,T000021,P00098,2,False
I0000111,T000021,P00113,2,False
I0000112,T000021,P00111,1,False
I0000113,T000021,P00077,2,False
I0000114,T000021,P00155,1,False
I0000115,T000021,P00123,2,False
I0000116,T000021,P00046,2,False
I0000117,T000022,P00063,2,False
I0000118,T000022,P00097,2,False
I0000119,T000022,P00101,2,False
I0000120,T000022,P00030,1,False
I0000121,T000022,P00152,1,False
I0000122,T000022,P00175,1,False
I0000123,T000022,P00119,1,False
I0000124,T000023,P00065,1,False
I0000125,T000023,P00109,1,False
I0000126,T000023,P00019,1,False
I0000127,T000023,P00154,1,False
I0000128,T000024,P00010,1,False
I0000129,T000024,P00180,1,True
I0000130,T000024,P00028,1,False
I0000131,T000024,P00169,1,False
I0000132,T000024,P00043,1,False
I0000133,T000024,P00145,1,False
I0000134,T000024,P00085,1,True
I0000135,T000025,P00131,1,False
I0000136,T000025,P00115,1,True
I0000137,T000025,P00101,1,False
I0000138,T000025,P00174,1,True
I0000139,T000026,P00076,1,True
I0000140,T000026,P00022,1,False
I0000141,T000026,P00037,1,False
I0000142,T000027,P00113,4,False
I0000143,T000027,P00082,1,False
I0000144,T000027,P00077,1,False
I0000145,T000028,P00166,1,False
I0000146,T000028,P00174,2,False
I0000147,T000028,P00063,2,False
I0000148,T000028,P00142,2,False
I0000149,T000028,P00085,4,False
I0000150,T000029,P00048,4,False
I0000151,T000029,P00102,1,False
I0000152,T000029,P00158,2,False
I0000153,T000029,P00116,4,False
I0000154,T000030,P00048,2,False
I0000155,T000030,P00084,1,True
I0000156,T000030,P00118,1,False
I0000157,T000030,P00068,2,False
I0000158,T000030,P00136,2,False
I0000159,T000030,P00153,2,True
I0000160,T000030,P00157,2,False
I0000161,T000031,P00159,1,False
I0000162,T000031,P00173,2,False
I0000163,T000031,P00158,1,False
I0000164,T000031,P00173,1,False
I0000165,T000031,P00081,1,False
I0000166,T000031,P00062,2,False
I0000167,T000032,P00100,2,True
I0000168,T000032,P00153,1,True
I0000169,T000032,P00148,2,True
I0000170,T000032,P00109,1,False
I0000171,T000032,P00125,1,False
I0000172,T000032,P00143,1,False
